;Возраст по группам;;;;
;Всего;18-24;25-39;40-54;> 55
Много знаю;30;19;25;33;35
Знаю немного;45;50;50;43;40
Мало знаю;19;25;20;19;15
Ничего не знаю;5;5;3;4;8
