age;know
40;3
36;3
47;3
18;4
20;3
37;2
65;2
51;2
30;3
37;2
55;2
22;2
40;3
16; 
56;2
42;2
47;3
69;3
37;3
44;3
32;3
62;2
16; 
24;3
43;2
81;9
52;2
38;3
18;2
62;2
17; 
38;9
57;2
31;3
40;2
61;3
50;4
65;2
34;3
54;3
21;4
41;4
56;3
27;3
47;1
57;3
22;9
16; 
35;4
50;3
28;4
38;3
60;3
58;9
27;4
40;9
60;3
42;2
37;4
55;3
16; 
39;4
47;4
55;3
70;4
25;3
48;3
51;3
25;4
43;2
64;4
66;3
20;2
39;9
50;3
23;3
47;3
38;3
55;3
33;2
42;2
62;3
70;1
52;3
44;2
61;4
21;4
34;1
65;3
29;3
64;3
63;3
86;3
50;3
53;2
36;2
17; 
31;3
34;3
27;4
70;3
62;2
58;3
47;2
44;3
69;3
41;3
29;3
31;3
28;3
22;3
20;4
55;2
32;2
52;1
18;3
22;2
52;1
61;2
35;2
49;3
16; 
64;3
53;3
71;3
29;3
30;3
17; 
40;3
52;3
64;3
36;3
62;3
24;2
36;2
29;2
73;2
79;1
40;2
23;2
50;2
37;3
56;2
56;2
29;2
33;2
19;2
46;2
20;3
29;3
32;4
55;3
27;4
40;4
24;3
41;3
57;3
59;4
57;3
35;3
32;4
24;4
56;3
27;4
27;4
62;1
54;3
47;4
38;3
54;3
74;3
36;3
27;3
60;3
61;3
52;3
18;3
78;3
19;2
70;2
53;3
63;4
59;4
35;3
23;2
33;2
38;3
26;2
42;3
38;4
24;3
18;3
57;3
31;3
66;4
35;4
40;3
61;3
53;3
55;3
65;3
38;3
29;3
18;3
40;3
40;3
42;3
20;3
51;3
69;3
77;2
34;3
73;3
71;3
44;3
45;3
36;3
18;4
39;2
23;3
56;3
61;3
34;3
69;3
33;3
29;3
50;3
65;3
25;3
24;2
48;3
47;2
46;3
41;3
39;2
34;3
23;3
33;3
52;3
58;3
19;3
60;2
70;2
65;9
28;9
72;3
16; 
40;9
30;2
41;4
65;3
27;3
54;4
16; 
38;2
33;1
52;4
27;3
17; 
69;3
21;4
25;4
20;9
54;2
68;4
32;9
52;2
68;9
22;2
55;2
44;3
37;3
38;3
50;3
59;2
30;4
34;3
59;4
22;2
58;2
66;2
27;1
29;4
59;3
39;2
43;2
31;1
18;2
41;2
20;3
46;1
52;1
70;1
20;2
55;3
69;2
53;3
39;4
39;3
30;3
26;4
65;3
36;3
63;3
42;3
50;3
64;3
33;3
68;2
52;3
61;3
39;3
42;3
17; 
16; 
17; 
38;2
52;3
54;1
37;1
62;1
73;3
77;3
76;2
18;2
46;1
72;9
40;2
65;3
54;3
34;3
35;3
72;3
44;4
22;4
33;4
18;4
21;3
29;4
76;4
60;1
55;3
43;4
32;3
51;2
46;1
19;3
28;4
59;3
65;3
28;3
52;3
54;3
61;2
24;3
23;4
44;3
34;4
52;9
55;2
52;3
31;3
56;4
21;9
57;4
56;1
52;4
42;3
49;3
40;9
68;3
70;2
18;9
32;9
27;3
34;3
41;3
34;3
